timestamp_ns,open,high,low,close,volume
1787888700000000000,710.85,712.90,707.00,712.55,1250643
1787888760000000000,712.55,715.00,712.40,713.80,319243
1787888820000000000,714.00,714.50,713.10,713.25,226833
1787888880000000000,713.25,713.30,712.20,712.65,116559
1787888940000000000,712.85,712.85,712.10,712.45,81717
1787889000000000000,712.45,712.45,711.30,712.05,125205
1787889060000000000,712.05,713.00,712.00,712.95,99893
1787889120000000000,712.95,713.45,711.35,711.75,119653
1787889180000000000,711.75,712.10,711.70,711.85,44174
1787889240000000000,711.90,713.85,711.80,713.50,78092
1787889300000000000,713.70,714.65,713.60,714.40,70899
1787889360000000000,714.55,715.00,714.30,715.00,92565
1787889420000000000,715.00,715.00,714.65,714.80,64832
1787889480000000000,715.00,715.00,714.60,714.80,67797
1787889540000000000,714.80,715.15,714.60,715.15,74876
1787889600000000000,715.15,715.30,714.60,714.75,79268
1787889660000000000,714.90,715.15,714.10,714.40,99214
1787889720000000000,714.40,714.50,713.40,714.00,92345
1787889780000000000,714.15,714.45,713.90,714.00,28197
1787889840000000000,714.10,714.20,713.45,713.50,60396
1787889900000000000,713.70,713.80,713.50,713.60,27791
1787889960000000000,713.60,713.70,713.00,713.00,42117
1787890020000000000,713.25,713.70,712.20,713.70,135453
1787890080000000000,713.70,713.70,713.05,713.25,28533
1787890140000000000,713.25,713.40,713.00,713.30,37189
1787890200000000000,713.40,713.50,713.05,713.35,30070
1787890260000000000,713.45,713.45,713.05,713.10,23832
1787890320000000000,713.20,714.00,713.10,713.80,37096
1787890380000000000,713.90,714.00,713.75,713.95,24505
1787890440000000000,714.00,714.20,713.90,714.10,23009
1787890500000000000,714.10,714.20,713.30,713.50,61575
1787890560000000000,713.70,713.70,713.10,713.40,22742
1787890620000000000,713.50,713.80,713.35,713.70,10733
1787890680000000000,713.75,713.85,713.00,713.00,54945
1787890740000000000,713.10,713.20,712.40,712.85,35798
1787890800000000000,712.90,713.25,712.70,713.00,36181
1787890860000000000,713.05,713.25,712.30,712.65,46826
1787890920000000000,712.65,712.75,712.30,712.55,26954
