timestamp_ns,open,high,low,close,volume
1787888700000000000,1435.00,1439.80,1432.50,1433.10,490081
1787888760000000000,1432.90,1434.90,1428.80,1434.10,267135
1787888820000000000,1434.60,1436.90,1434.30,1435.60,51795
1787888880000000000,1436.00,1436.90,1435.20,1436.90,88576
1787888940000000000,1436.90,1437.70,1436.10,1436.60,42577
1787889000000000000,1437.00,1437.00,1435.00,1435.60,54022
1787889060000000000,1436.10,1436.50,1435.20,1436.40,26825
1787889120000000000,1436.20,1437.90,1435.90,1436.10,66156
1787889180000000000,1436.20,1436.60,1436.10,1436.50,2847
1787889240000000000,1436.50,1436.90,1436.20,1436.70,11561
1787889300000000000,1436.90,1438.40,1436.90,1438.20,18376
1787889360000000000,1438.20,1438.80,1437.60,1438.70,16531
1787889420000000000,1438.70,1438.80,1438.00,1438.10,9864
1787889480000000000,1438.50,1438.50,1437.40,1437.70,8618
1787889540000000000,1438.20,1438.40,1437.80,1437.80,6343
1787889600000000000,1438.20,1438.30,1436.50,1436.80,13894
1787889660000000000,1437.00,1437.20,1436.80,1436.80,4310
1787889720000000000,1437.20,1437.40,1436.60,1437.10,4735
1787889780000000000,1437.40,1437.60,1437.10,1437.50,8220
1787889840000000000,1437.50,1437.50,1434.20,1434.60,129846
1787889900000000000,1434.60,1435.50,1434.20,1434.60,50253
1787889960000000000,1434.50,1434.90,1434.40,1434.50,4032
1787890020000000000,1434.60,1435.10,1434.40,1434.80,23733
1787890080000000000,1434.80,1434.90,1433.10,1433.50,71899
1787890140000000000,1434.00,1434.60,1433.40,1434.50,18576
1787890200000000000,1434.50,1435.30,1434.10,1434.70,14527
1787890260000000000,1435.20,1435.20,1434.60,1434.90,3003
1787890320000000000,1434.90,1435.00,1434.20,1434.90,5619
1787890380000000000,1435.00,1435.60,1434.90,1435.30,13986
1787890440000000000,1435.30,1435.40,1435.00,1435.10,2638
1787890500000000000,1435.40,1435.40,1435.00,1435.10,4344
1787890560000000000,1435.40,1435.50,1435.10,1435.30,2702
1787890620000000000,1435.30,1435.60,1435.30,1435.60,2399
1787890680000000000,1435.60,1435.70,1434.80,1435.30,56051
