timestamp_ns,open,high,low,close,volume
1787024700000000000,1314.00,1315.20,1311.20,1311.60,138107
1787024760000000000,1311.60,1313.60,1311.40,1312.90,38044
1787024820000000000,1313.10,1313.80,1312.00,1312.00,25916
1787024880000000000,1312.30,1314.50,1311.80,1314.00,45961
1787024940000000000,1314.00,1314.10,1313.00,1313.60,26307
1787025000000000000,1313.90,1314.20,1313.00,1313.70,21785
1787025060000000000,1314.00,1314.40,1312.80,1313.30,22863
1787025120000000000,1313.30,1315.00,1312.80,1314.00,45136
1787025180000000000,1314.50,1317.50,1314.00,1317.40,69159
1787025240000000000,1317.20,1320.60,1316.80,1319.40,97236
1787025300000000000,1319.30,1321.00,1319.00,1320.50,112613
1787025360000000000,1321.00,1327.00,1320.40,1326.80,143859
1787025420000000000,1326.80,1328.00,1324.00,1324.50,89282
1787025480000000000,1324.50,1324.60,1322.10,1322.50,86377
1787025540000000000,1322.80,1323.40,1321.60,1322.50,73644
1787025600000000000,1322.50,1322.50,1321.00,1321.30,37870
1787025660000000000,1321.30,1322.30,1320.90,1322.00,44983
1787025720000000000,1322.20,1322.50,1320.60,1320.80,29682
1787025780000000000,1321.00,1322.00,1320.40,1322.00,44817
1787025840000000000,1321.90,1324.60,1321.70,1323.40,85236
1787025900000000000,1323.40,1324.50,1323.00,1324.40,19818
1787025960000000000,1324.40,1326.00,1324.30,1325.50,62681
1787026020000000000,1325.50,1326.70,1324.80,1326.00,60420
1787026080000000000,1326.00,1326.80,1325.50,1326.60,61085
1787026140000000000,1326.60,1327.00,1325.70,1325.70,31751
1787026200000000000,1326.00,1327.00,1325.10,1326.00,33251
1787026260000000000,1325.80,1328.60,1325.20,1327.50,71070
1787026320000000000,1327.80,1327.90,1326.10,1327.00,33637
1787026380000000000,1327.00,1327.00,1325.10,1325.20,20431
1787026440000000000,1325.70,1325.70,1324.00,1324.70,43802
1787026500000000000,1324.40,1324.60,1323.20,1323.60,15053
1787026560000000000,1323.60,1324.00,1323.30,1323.80,14685
1787026620000000000,1323.80,1324.90,1323.70,1324.60,26509
1787026680000000000,1324.50,1324.60,1324.00,1324.30,12597
1787026740000000000,1324.30,1324.60,1324.00,1324.00,10341
1787026800000000000,1324.20,1324.90,1324.10,1324.40,8487
1787026860000000000,1324.50,1324.50,1323.70,1323.70,50541
1787026920000000000,1323.90,1325.20,1323.50,1324.90,35688
1787026980000000000,1324.90,1325.50,1324.80,1325.40,10011
1787027040000000000,1325.50,1325.50,1323.80,1323.80,19448
1787027100000000000,1324.10,1324.50,1323.50,1323.80,15840
1787027160000000000,1323.90,1324.70,1323.80,1324.40,10990
1787027220000000000,1324.40,1324.40,1323.80,1323.80,9143
1787027280000000000,1323.90,1323.90,1322.60,1323.50,38179
1787027340000000000,1323.50,1324.30,1322.80,1324.30,16253
1787027400000000000,1324.30,1324.30,1323.40,1323.90,20135
1787027460000000000,1323.90,1324.40,1323.10,1324.00,28504
1787027520000000000,1324.20,1324.30,1323.10,1323.90,29764
1787027580000000000,1324.00,1324.10,1322.40,1323.70,50195
1787027640000000000,1323.90,1324.10,1323.50,1324.00,29725
1787027700000000000,1324.10,1324.60,1324.00,1324.30,21148
